step,timestamp,action,price,shares,reward,transaction_cost,slippage,time_penalty
0,2023-07-03 08:00:14.385893078,1,194.05,243.0,-0.44602322322317267,0.17959252322317262,0.25,0.0164307
1,2023-07-03 08:00:14.385899379,1,194.05,61.0,-0.44603232322317266,0.17959252322317262,0.25,0.0164398
2,2023-07-03 08:00:15.804687301,1,194.21,201.0,-0.09678801803554471,0.08031621803554471,0.0,0.0164718
6,2023-07-03 08:00:30.451005195,1,194.02,200.0,-0.2370440180355311,0.08031621803554471,0.13999999999998636,0.0167278
8,2023-07-03 08:00:30.451005195,1,194.01,195.0,-0.42070998204302146,0.25398218204301576,0.15000000000000568,0.0167278
9,2023-07-03 08:00:30.451829005,2,194.0,242.0,-1.5850970309627908,1.4083993309627942,0.1599999999999966,0.0166977
10,2023-07-03 08:00:30.451829005,2,194.0,135.0,-0.22749413640859975,0.05079643640860315,0.1599999999999966,0.0166977
11,2023-07-03 08:00:30.451829005,1,194.0,159.0,-0.23348984241218756,0.056792142412190966,0.1599999999999966,0.0166977
14,2023-07-03 08:00:37.857944791,2,194.12,98.0,-0.09680601803554471,0.08031621803554471,0.0,0.0164898
20,2023-07-03 08:00:59.998480243,1,194.12,226.0,-0.06725763640860315,0.05079643640860315,0.0,0.0164612
23,2023-07-03 08:01:02.738812696,1,194.12,64.0,-0.12416761393390358,0.10775551393390358,0.0,0.0164121
24,2023-07-03 08:01:02.738841844,1,194.12,81.0,-0.09672531803554471,0.08031621803554471,0.0,0.0164091
25,2023-07-03 08:01:02.739065129,1,194.12,234.0,-0.23636002175785553,0.21995502175785553,0.0,0.016405
27,2023-07-03 08:01:10.150974638,2,194.18,220.0,-0.04190021820430158,0.025398218204301576,0.0,0.016502
29,2023-07-03 08:01:11.609390022,2,194.18,193.0,-0.04192481820430158,0.025398218204301576,0.0,0.0165266
33,2023-07-03 08:01:12.250045693,2,194.26,141.0,-0.19610042322317262,0.17959252322317262,0.0,0.0165079
34,2023-07-03 08:01:12.377325167,1,194.28,110.0,-0.05190161820429248,0.025398218204301576,0.009999999999990905,0.0165034
36,2023-07-03 08:01:13.529950930,1,194.22,84.0,-0.11187051820429475,0.025398218204301576,0.06999999999999318,0.0164723
38,2023-07-03 08:01:14.185830444,1,194.25,166.0,-0.23631442322316465,0.17959252322317262,0.03999999999999204,0.0167219
39,2023-07-03 08:01:14.185830444,2,194.25,198.0,-0.23631442322316465,0.17959252322317262,0.03999999999999204,0.0167219
41,2023-07-03 08:01:14.185830444,2,194.28,243.0,-0.10703811803553562,0.08031621803554471,0.009999999999990905,0.0167219
43,2023-07-03 08:01:14.185830444,1,194.29,61.0,-0.21608272549875285,0.19836642549875286,0.0,0.0177163
44,2023-07-03 08:01:15.035597217,1,194.28,90.0,-0.07237580464464477,0.03591850464463453,0.020000000000010232,0.0164573
48,2023-07-03 08:01:33.770919150,1,194.2,186.0,-0.10198571820430385,0.025398218204301576,0.060000000000002274,0.0165875
52,2023-07-03 08:02:23.951417907,1,194.2,168.0,-0.27045948204301573,0.25398218204301576,0.0,0.0164773
53,2023-07-03 08:02:26.744084969,1,194.19,128.0,-0.14866087497639888,0.062212674976405695,0.06999999999999318,0.0164482
58,2023-07-03 08:02:43.952770224,2,194.2,141.0,-0.19618732322317262,0.17959252322317262,0.0,0.0165948
59,2023-07-03 08:02:44.165621669,2,194.19,248.0,-0.06239950464462543,0.03591850464463453,0.009999999999990905,0.016481
61,2023-07-03 08:02:51.226003391,1,194.19,184.0,-0.08323204241218188,0.056792142412190966,0.009999999999990905,0.0164399
62,2023-07-03 08:03:01.015438032,1,194.16,206.0,-0.09240660464462658,0.03591850464463453,0.03999999999999204,0.0164881
64,2023-07-03 08:03:10.228192897,1,194.2,78.0,-0.04183161820430158,0.025398218204301576,0.0,0.0164334
66,2023-07-03 08:03:20.664115447,1,194.19,92.0,-0.23893063916728288,0.21249673916729198,0.009999999999990905,0.0164339
69,2023-07-03 08:03:24.714056048,1,194.2,114.0,-0.041825818204301576,0.025398218204301576,0.0,0.0164276
70,2023-07-03 08:03:30.071432879,1,194.15,198.0,-0.20601307030932622,0.13911177030934327,0.04999999999998295,0.0169013
74,2023-07-03 08:03:30.071432879,1,194.15,127.0,-0.09229951820428453,0.025398218204301576,0.04999999999998295,0.0169013
76,2023-07-03 08:03:59.695353821,1,194.15,243.0,-0.10254060464461748,0.03591850464463453,0.04999999999998295,0.0166221
78,2023-07-03 08:04:10.234613592,1,194.2,134.0,-0.3216663184516189,0.3047786184516189,0.0,0.0168877
82,2023-07-03 08:04:10.234613592,1,194.2,202.0,-0.1671455852452212,0.15025788524522118,0.0,0.0168877
83,2023-07-03 08:04:14.352018066,1,194.19,68.0,-0.2196369456344126,0.2031857456344126,0.0,0.0164512
